,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2468,Sports Trivia Star: Sports App,Trivia & Sports Games Offline‪!‬,Super Lucky Games LLC,#8 in Trivia,4+,4.9,$0.99,506 Ratings,,210.8 MB,,,,,,
2469,YouRiding - Surf and Bodyboard,Real waves and real experience,"Boardscore, Inc.",#7 in Sports,4+,3.8,Free,27 Ratings,,170.1 MB,Infrequent/Mild Contests,,,,,
2470,Dirt Racing Mobile 3D,,Windowed Universe LLC,#29 in Racing,4+,3.7,Free,74 Ratings,Offers In-App Purchases,222.9 MB,,,,,,
2471,Real Car Driving: Racing games,Car race Simulator No Limits,Caroline Mize,#29 in Racing,4+,4,$0.99,15.9K Ratings,,653.3 MB,,,,,,
2472,Flick Home Run ‪!‬,,infinity pocket,#5 in Sports,4+,3.4,Free,1.2K Ratings,Offers In-App Purchases,27.4 MB,,,,,,
2473,Electric RC Sim,,Ben White,#32 in Sports,4+,4.2,$3.99,55 Ratings,,72.1 MB,,,,,,
2474,Pocket Champs: 3D Racing Games,Fun Idle Running & Race Game,MADBOX,#17 in Racing,4+,4.8,Free,48K Ratings,,277.3 MB,,,,,,
2475,Football Chairman Pro,Addictive soccer strategy game,Underground Creative Ltd,#32 in Sports,4+,4.7,$2.99,263 Ratings,Offers In-App Purchases,33.4 MB,,,,,,
2476,Golf Battle,Multiplayer Game with Friends‪!‬,Miniclip SA,#33 in Sports,4+,4.7,$9.99,293.6K Ratings,Offers In-App Purchases,172.2 MB,,,,,,
2477,Night Skate,A retro skateboard adventure,ODD ANIMAL LLC,#15 in Sports,4+,4.8,$4.99,170 Ratings,,159.6 MB,,,,,,
2478,Fun Race 3D,Epic Fail Race,Good Job Games Bilisim Yazilim ve Pazarlama AS,#75 in Sports,12+,4.6,Free,775.4K Ratings,,209.3 MB,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Realistic Violence,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Horror/Fear Themes
2479,QWOP for iOS,,Bennett Foddy,#44 in Sports,4+,3.9,Free,23 Ratings,Offers In-App Purchases,31.9 MB,,,,,,
2480,Solitaire Zillionaire Win Cash,Real Money Games! Earn Prizes,ME2ZEN LTD,#80 in Sports,17+,4.7,Free,1.8K Ratings,,296.9 MB,Gambling,Frequent/Intense Contests,,,,
2481,Boxing Star,Mega Punchin' Fight,Four Thirty Three,#62 in Sports,12+,4.6,Free,89.9K Ratings,,1.8 GB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,,,,
2482,Lofi Ping Pong,Meditative rhythm ping-pong,Nikolai Kislitsin,#22 in Music,9+,3.4,Free,109 Ratings,,136.6 MB,Infrequent/Mild Horror/Fear Themes,,,,,
2483,Real Pool 3D,Best 3D Pool & Snooker Game‪!‬,Sailendu Behera,#70 in Family,4+,4.6,Free,45.1K Ratings,,103.1 MB,,,,,,
2484,"I, The One - Accurate Fighting","Kick them all, make them fall‪!‬",AZUR INTERACTIVE GAMES LIMITED,#85 in Sports,12+,4.6,Free,61.5K Ratings,,264.9 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
