,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
0,Jupiter Attack,Best Arcade Shooting Game,RED SPRITE STUDIOS PTY LTD,#16 in Casual,4+,4.6,$1.99,110 Ratings,Offers In-App Purchases,32.1 MB,,,,,,
1,Crazy Kick‪!‬,"Dribble, shoot and score‪!‬",Voodoo,#20 in Sports,12+,4.7,Free,449.2K Ratings,Offers In-App Purchases,575.1 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Realistic Violence
2,Get the Supercar 3D,,SUPERSONIC STUDIOS LTD,#59 in Action,12+,4.6,Free,15.8K Ratings,Offers In-App Purchases,235 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
3,slither.io,Multiplayer slithering game,Lowtech Studios LLC,#45 in Action,4+,4,Free,213.7K Ratings,Offers In-App Purchases,26.1 MB,,,,,,
4,Rec Room: Play with Friends,"Chat & Build, Online VR Game",Rec Room Inc,#11 in Adventure,9+,4.8,Free,510.2K Ratings,Offers In-App Purchases,2.7 GB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
5,Mario Kart Tour,Race around the world‪!‬,"Nintendo Co., Ltd.",#4 in Racing,4+,4.7,Free,1M Ratings,Offers In-App Purchases,227.7 MB,,,,,,
6,Alien: Isolation,Run. Hide. Survive‪.‬,Feral Interactive Ltd,#73 in Adventure,17+,4.6,$14.99,275 Ratings,Offers In-App Purchases,2 GB,Frequent/Intense Profanity or Crude Humor,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Realistic Violence,Frequent/Intense Horror/Fear Themes,Infrequent/Mild Mature/Suggestive Themes,
7,Monster Demolition - Giants 3D,Take them all down‪!‬,SayGames LTD,#5 in Racing,12+,4.7,Free,18.4K Ratings,Offers In-App Purchases,413.2 MB,Infrequent/Mild Sexual Content and Nudity,,,,,
8,Mindustry,A factory management TD/RTS,Anton Kramskoi,#63 in Action,9+,4.6,$1.99,720 Ratings,Offers In-App Purchases,171.1 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
9,Five Nights at Freddy's 4,What have you brought home,CLICKTEAM L.L.C.,#9 in Action,12+,4.6,$2.99,9.7K Ratings,,56.4 MB,Frequent/Intense Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,,
10,Clash Royale,Epic Real-Time PvP Battles,Supercell Oy,#11 in Strategy,9+,4.6,Free,2.3M Ratings,Offers In-App Purchases,198 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
11,Survivor Space,Your spaceship was haunted!‪!‬,Bui Thi Ha,#56 in Action,9+,4.9,$19.99,218 Ratings,,174 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
12,Clash of Clans,Lead Your Clan to Victory‪!‬,Supercell Oy,#10 in Strategy,9+,4.8,$2.99,2.2M Ratings,,340.4 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
13,Bloons TD 6,Mega Popular Tower Defense,Ninja Kiwi Limited,#1 in Action,9+,4.8,$9.99,234.4K Ratings,,144.7 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
14,Color Switch,Official Version,"Color Switch Phoenix, LLC",#71 in Action,4+,4.7,Free,47.8K Ratings,,335.3 MB,,,,,,
15,Bowmasters - Multiplayer Game,Join the top archery arcade,Playgendary Limited,#25 in Action,12+,4.5,$1.99,1.9M Ratings,,605.4 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Horror/Fear Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",
16,Garena Free Fire: Winterlands,10-minute Survival Shooter‪!‬,GARENA INTERNATIONAL I PRIVATE LIMITED,#14 in Adventure,12+,3.9,Free,214.2K Ratings,Offers In-App Purchases,1.4 GB,Infrequent/Mild Mature/Suggestive Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Simulated Gambling,Infrequent/Mild Realistic Violence,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Horror/Fear Themes
17,Bloons TD 5,Top-Rated Tower Defense Game,Ninja Kiwi Limited,#7 in Strategy,9+,4.8,Free,86.8K Ratings,Offers In-App Purchases,175.6 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
18,Slime Quest: Dungeon Adventure,,"LoadComplete Co., Ltd",#29 in Adventure,9+,4.8,$1.99,355 Ratings,,376.4 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
19,Grand Theft Auto: San Andreas,,"Rockstar Games, Inc.",#2 in Adventure,17+,4.6,$2.99,70.9K Ratings,Offers In-App Purchases,2.1 GB,Frequent/Intense Realistic Violence,"Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Profanity or Crude Humor,Frequent/Intense Simulated Gambling,Frequent/Intense Mature/Suggestive Themes,Infrequent/Mild Sexual Content and Nudity
20,KOF 2002 ACA NEOGEO,now available in the app‪!‬,SNK CORPORATION,#10 in Casual,12+,3.4,Free,57 Ratings,Offers In-App Purchases,209.6 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,
21,Grand Theft Auto III,,"Rockstar Games, Inc.",#16 in Adventure,17+,4.5,$6.99,9.3K Ratings,,738.2 MB,Infrequent/Mild Simulated Gambling,Frequent/Intense Profanity or Crude Humor,Frequent/Intense Mature/Suggestive Themes,Frequent/Intense Cartoon or Fantasy Violence,Frequent/Intense Realistic Violence,Frequent/Intense Sexual Content or Nudity
22,Real Steel,,Reliance Big Entertainment UK Private Ltd,#11 in Sports,9+,4,$4.99,1.1K Ratings,,1.7 GB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
23,Grimvalor,Epic Hack & Slash Adventure,Direlight Oy,#59 in Adventure,12+,4.9,Free,8.5K Ratings,,754 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Realistic Violence,,,
24,eFootball™ 2023,Authentic soccer game‪!‬,"Konami Digital Entertainment Co., Ltd.",#10 in Sports,4+,4.2,Free,165.4K Ratings,,3 GB,,,,,,
25,Amazing Frog‪?‬,Grand Frog Auto Swindon,fayju,#69 in Adventure,9+,4.3,Free,4.4K Ratings,Offers In-App Purchases,818.8 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
26,Goat Simulator,,Coffee Stain Publishing AB,#42 in Action,9+,4.5,$5.99,8.9K Ratings,,584.9 MB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Profanity or Crude Humor,,,
27,Iron Marines: RTS offline game,Real time strategy battles‪!‬,Ironhide S.A.,#39 in Action,9+,4.8,$7.99,25.4K Ratings,Offers In-App Purchases,1.2 GB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
28,Iron Marines Invasion RTS Game,Sci-Fi Space Army Battle Games,Ironhide S.A.,#21 in Action,12+,4.7,$2.99,1K Ratings,Offers In-App Purchases,740.4 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
29,Tiny Wings,A dream of flying,Andreas Illiger,#4 in Casual,4+,4.8,$2.99,9.3K Ratings,Offers In-App Purchases,29.1 MB,,,,,,
30,Stack,The best block-stacking game,Ketchapp,#64 in Action,12+,4.4,$1.99,41.6K Ratings,Offers In-App Purchases,158.4 MB,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Horror/Fear Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References"
31,GTA: Chinatown Wars,,"Rockstar Games, Inc.",#23 in Adventure,17+,3.8,Free,801 Ratings,Offers In-App Purchases,879.5 MB,"Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Realistic Violence,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Simulated Gambling,Frequent/Intense Profanity or Crude Humor,Frequent/Intense Mature/Suggestive Themes
32,Bottle Jump 3D,Make your water bottle flip‪!‬,AZUR INTERACTIVE GAMES LIMITED,#82 in Action,12+,4.6,$4.99,147.3K Ratings,Offers In-App Purchases,258.3 MB,Infrequent/Mild Simulated Gambling,,,,,
33,Kunai Master: Ninja Assassin,Be a stealth hunter and spy‪!‬,AI GAMES FZ LLC,#58 in Action,12+,4.9,Free,2.8K Ratings,Offers In-App Purchases,359 MB,Infrequent/Mild Simulated Gambling,Infrequent/Mild Realistic Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,,
34,iGun Pro Deluxe,The Original Gun Application,Crimson Moon Entertainment LLC,#71 in Simulation,12+,4.6,Free,17 Ratings,Offers In-App Purchases,577.1 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
35,Rocket League Sideswipe,The Ultimate Car Soccer Game,Psyonix LLC,#15 in Sports,4+,4.4,$4.99,78.3K Ratings,,1.3 GB,,,,,,
36,Specimen Zero - Horror,Multiplayer horror game,Rafael Sanchez Martel,#47 in Action,12+,4.1,$5.99,63 Ratings,,436.7 MB,Frequent/Intense Horror/Fear Themes,Infrequent/Mild Realistic Violence,,,,
37,Kick the Buddy,THE BEST STRESS RELIEF EVER‪.‬,Playgendary Limited,#15 in Action,12+,4.6,$0.99,1M Ratings,,220.1 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Profanity or Crude Humor,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Cartoon or Fantasy Violence,
38,Temple Run,The original endless runner‪!‬,"Imangi Studios, LLC",#45 in Action,9+,4.4,$5.99,303K Ratings,,181 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
39,Human: Fall Flat,Hilarious physics puzzles,"505 Games (US), Inc.",#13 in Puzzle,4+,4.1,$0.99,2.5K Ratings,Offers In-App Purchases,1.8 GB,,,,,,
40,Five Nights at Freddy's 3,It's all in your mind,CLICKTEAM L.L.C.,#14 in Action,12+,4.5,$4.99,6.4K Ratings,Offers In-App Purchases,69.7 MB,Frequent/Intense Cartoon or Fantasy Violence,Frequent/Intense Horror/Fear Themes,Infrequent/Mild Profanity or Crude Humor,,,
41,Doodle Jump,BE WARNED: Insanely Addictive‪!‬,Lima Sky,#36 in Adventure,4+,4.2,$2.99,722 Ratings,Offers In-App Purchases,58.2 MB,,,,,,
42,Banana Kong 2,Dash through the jungle‪!‬,FDG Mobile Games GbR,#23 in Adventure,9+,4.8,$0.99,5.5K Ratings,Offers In-App Purchases,172.2 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,,,,
43,Vector Full: Parkour Run,Join the breathtaking chase‪!‬,Nekki Limited,#18 in Casual,9+,4.9,$0.99,744 Ratings,Offers In-App Purchases,471.9 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
44,Rope and Demolish,Satisfying demolish game‪!‬,Voodoo,#85 in Action,12+,4.3,Free,31.2K Ratings,Offers In-App Purchases,281.2 MB,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Realistic Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Medical/Treatment Information
45,Dead Raid: Zombie Shooter 3D,Survival shooting with zombies,AI GAMES FZ LLC,#69 in Action,12+,4.5,Free,7.7K Ratings,Offers In-App Purchases,285.2 MB,Frequent/Intense Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,,
46,Worms3,,Team17 Digital Limited,#44 in Action,9+,3.8,$0.99,270 Ratings,Offers In-App Purchases,366.1 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
47,Mini Football - Soccer game,"Win a league, become a hero",Miniclip SA,#14 in Sports,4+,4.6,Free,112.6K Ratings,,584.5 MB,,,,,,
48,Bad North: Jotunn Edition,Vikings are coming,Raw Fury AB,#33 in Action,12+,3.6,$3.99,1.4K Ratings,,356.1 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
49,Archer Attack 3D: Shooter War,Bowman & Sniper Combat,Matchingham Games Limited,#42 in Role Playing,9+,4.5,Free,901 Ratings,Offers In-App Purchases,302 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
50,Gun Sound Simulator,Shotgun Sounds: Gun Simulator,Nguyen Thi Thu Huyen,#89 in Action,12+,3.9,Free,20 Ratings,Offers In-App Purchases,113.6 MB,Infrequent/Mild Realistic Violence,,,,,
51,Angry Birds 2,Best popular fun action game‪!‬,Rovio Entertainment Oyj,#17 in Action,4+,4.6,Free,1.2M Ratings,,308.5 MB,,,,,,
52,Vampire Survivors,Roguelike survival pixel RPG,Poncle Limited,#42 in Action,12+,4.8,Free,1.9K Ratings,Offers In-App Purchases,468.1 MB,Infrequent/Mild Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,,
53,Tennis Clash：Sports Stars Game,Ultimate open arena pvp games,Wildlife Studios Limited,#32 in Sports,12+,4.6,Free,395.3K Ratings,Offers In-App Purchases,256.4 MB,Infrequent/Mild Simulated Gambling,,,,,
54,Stacky Dash,Stack and dash‪!‬,SUPERSONIC STUDIOS LTD,#61 in Action,9+,4.5,$2.99,282.4K Ratings,Offers In-App Purchases,335.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
55,Kingdom Rush Origins TD,Epic tower defense adventure,Ironhide S.A.,#30 in Action,9+,4.9,$2.99,10.4K Ratings,,210.7 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
56,You Must Build A Boat,Match Tiles. Build A Boat‪.‬,EightyEight Games LTD,#40 in Role Playing,4+,4.8,$0.99,1.5K Ratings,Offers In-App Purchases,120.1 MB,,,,,,
57,20 Minutes Till Dawn (Full‪)‬,,QI YU SG. PTE. LTD.,#17 in Role Playing,12+,4.5,Free,330 Ratings,Offers In-App Purchases,145.4 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,,,,
58,Hitman Sniper,Definitive Sniping Experience,SQUARE ENIX Ltd,#40 in Action,17+,4.8,Free,7.5K Ratings,Offers In-App Purchases,1.3 GB,Infrequent/Mild Realistic Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Frequent/Intense Mature/Suggestive Themes,,,
59,Snow Race!‪!‬,Very popular snow racing game,"GOODROID,Inc.",#19 in Racing,12+,4.3,$2.99,12.8K Ratings,Offers In-App Purchases,553.9 MB,Infrequent/Mild Contests,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,,,
60,Hair Challenge,Super fun hair running game‪!‬,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,#23 in Racing,12+,4.5,Free,334.1K Ratings,Offers In-App Purchases,404.9 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Sexual Content and Nudity,,,,
61,Ball Mayhem,From rookie to MVP‪!‬,Voodoo,#29 in Sports,12+,4.7,Free,244.9K Ratings,Offers In-App Purchases,237.7 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Realistic Violence,Infrequent/Mild Simulated Gambling,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Medical/Treatment Information
62,Five Nights at Freddy's,You have the night watch,CLICKTEAM L.L.C.,#4 in Action,12+,4.6,Free,15.3K Ratings,Offers In-App Purchases,115.3 MB,Frequent/Intense Cartoon or Fantasy Violence,Frequent/Intense Horror/Fear Themes,,,,
63,DOOM,DOOM,Bethesda Softworks LLC,#46 in Action,17+,3.7,Free,1.6K Ratings,Offers In-App Purchases,397.4 MB,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Horror/Fear Themes,Frequent/Intense Realistic Violence,Frequent/Intense Cartoon or Fantasy Violence,,
64,Super Mario Run,Control Mario with just a tap‪!‬,"Nintendo Co., Ltd.",#40 in Action,4+,3.7,$2.99,62.5K Ratings,,268.8 MB,,,,,,
65,Bridge Race,Build to cross the bridge‪!‬,SUPERSONIC STUDIOS LTD,#2 in Racing,4+,4.5,Free,550.6K Ratings,Offers In-App Purchases,262.8 MB,,,,,,
66,iGun Pro 2,The Ultimate Gun Application,Crimson Moon Entertainment LLC,#74 in Action,12+,4.8,$6.99,53.7K Ratings,Offers In-App Purchases,197.9 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
67,Rusted Warfare - RTS,A real-time base building RTS,CG SOFTWARE PTY LTD,#58 in Strategy,9+,4.8,$4.99,247 Ratings,,148.5 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
68,PUBG MOBILE,Top Battle Royale Mobile Game,Tencent Mobile International Limited,#8 in Strategy,12+,4.3,$2.99,1.4M Ratings,Offers In-App Purchases,2.1 GB,Infrequent/Mild Realistic Violence,,,,,
69,Gunfire Reborn,Roguelike+FPS adventure,"HONGKONG DELAN CO., LIMITED",#26 in Role Playing,17+,4.7,Free,306 Ratings,Offers In-App Purchases,1.4 GB,Frequent/Intense Realistic Violence,Infrequent/Mild Cartoon or Fantasy Violence,Frequent/Intense Mature/Suggestive Themes,,,
70,DOOM II,DOOM II,Bethesda Softworks LLC,#73 in Action,17+,3.7,Free,306 Ratings,Offers In-App Purchases,393.1 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Horror/Fear Themes,Frequent/Intense Realistic Violence,,
71,3D Fish Feeding and Grow,Feed Hungry Fish & Make It Big,M Usman Rasheed,#82 in Adventure,4+,3.7,$4.99,1.4K Ratings,,493.6 MB,,,,,,
72,Apex Legends Mobile,Hero Shooter & Battle Royale,EA Swiss Sarl,#13 in Strategy,12+,4.8,Free,236.5K Ratings,Offers In-App Purchases,3.9 GB,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,,
73,Getting Over It,with Bennett Foddy,Bennett Foddy,#12 in Action,4+,4.3,Free,5.1K Ratings,Offers In-App Purchases,248.3 MB,,,,,,
74,Flight‪!‬,,Armor Games Inc,#27 in Casual,4+,4.6,$0.99,87 Ratings,,64.9 MB,,,,,,
75,Race Master 3D - Car Racing,"Fast, furious and super-fun",SayGames LTD,#8 in Racing,4+,4.6,Free,183.6K Ratings,Offers In-App Purchases,287.9 MB,,,,,,
76,Sandwich Runner,Make a tall sandwich,"Dwango Co., Ltd.",#77 in Action,12+,4.5,$0.99,32K Ratings,,177.9 MB,Frequent/Intense Profanity or Crude Humor,,,,,
77,Zombieville USA 2,,"Mika Mobile, Inc.",#11 in Casual,12+,4.5,Free,1.5K Ratings,Offers In-App Purchases,176.2 MB,Infrequent/Mild Realistic Violence,Infrequent/Mild Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,
78,Slice It All‪!‬,Tap to slice‪!‬,Voodoo,#26 in Action,4+,4.5,Free,203.2K Ratings,,337.1 MB,,,,,,
79,20 Watch Games - Classic Pack,enjoy your Game on your Watch,Le Thi Thanh Binh,#30 in Casual,4+,4.1,Free,559 Ratings,Offers In-App Purchases,54.7 MB,,,,,,
80,Helix Jump,Reach the bottom of the tower‪!‬,Voodoo,#14 in Action,12+,4.6,$4.99,1.5M Ratings,,262.5 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Realistic Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Simulated Gambling
81,Bendy and the Ink Machine,Vintage Cartoon Madness,Joey Drew Studios Inc.,#31 in Adventure,12+,4.5,Free,4.2K Ratings,,1.3 GB,Frequent/Intense Cartoon or Fantasy Violence,Frequent/Intense Horror/Fear Themes,,,,
82,Kick the Buddy: Forever,Best stress relief game,Playgendary Limited,#46 in Action,12+,4.6,Free,348.5K Ratings,,235.3 MB,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Cartoon or Fantasy Violence,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,
83,Draw Joust‪!‬,,Voodoo,#92 in Action,12+,4.7,Free,244.8K Ratings,,308.4 MB,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Realistic Violence,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Simulated Gambling,Infrequent/Mild Horror/Fear Themes
84,Street Fighter IV CE,,"CAPCOM Co., Ltd",#6 in Casual,12+,4.8,Free,17.6K Ratings,Offers In-App Purchases,2.2 GB,Infrequent/Mild Realistic Violence,Infrequent/Mild Cartoon or Fantasy Violence,,,,
85,Worms™ 4,,Team17 Digital Limited,#67 in Strategy,9+,3.9,$4.99,698 Ratings,Offers In-App Purchases,271.7 MB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Profanity or Crude Humor,,,,
86,Sonic Runners Adventure,The Action Platformer Legend,Gameloft,#62 in Adventure,4+,4.7,Free,23K Ratings,Offers In-App Purchases,37.3 MB,,,,,,
87,Score! Hero 2023,Be The Hero‪!‬,First Touch Games Ltd.,#21 in Sports,4+,4.6,Free,96.3K Ratings,,255.8 MB,,,,,,
88,Dumb Ways to Die,,Metro Trains Melbourne Pty Ltd,#38 in Action,12+,4.4,$5.99,20.9K Ratings,,784.6 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,,,,
89,Shadow Fight 2 Special Edition,Unlimited fights and new story,Nekki Limited,#18 in Role Playing,12+,4.7,Free,6.4K Ratings,Offers In-App Purchases,369.2 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
90,Galaxy Attack: Alien Shooter,Space War Shooter Game,ABIGAMES PTE. LTD,#75 in Action,9+,4.7,Free,498.3K Ratings,Offers In-App Purchases,303.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
91,Fun with Ragdolls,The Game,Jadon Barnes,#61 in Simulation,9+,4.5,Free,2.2K Ratings,Offers In-App Purchases,288.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
92,Among Us‪!‬,,InnerSloth LLC,#6 in Action,9+,4.1,Free,722.9K Ratings,Offers In-App Purchases,627.5 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Cartoon or Fantasy Violence,,,,
93,RAID: Shadow Legends,Dark RPG with Epic PvP Arena,Plarium Global Ltd,#45 in Role Playing,12+,4.7,$1.99,417.7K Ratings,Offers In-App Purchases,239.4 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
94,Galaxy Attack: Space Shooter,Alien shooter - Classic game‪!‬,RocketAds Ltd,#49 in Action,4+,4.7,$3.99,240.2K Ratings,,302.6 MB,,,,,,
95,True Skate,The ultimate skateboarding sim,TRUE AXIS PTY LTD,#1 in Sports,4+,3.8,Free,7.9K Ratings,Offers In-App Purchases,173.1 MB,,,,,,
96,Playdead's LIMBO,From the Creators of INSIDE,Playdead ApS,#16 in Puzzle,12+,4.6,$2.99,2.5K Ratings,,143.4 MB,Infrequent/Mild Horror/Fear Themes,Frequent/Intense Cartoon or Fantasy Violence,,,,
97,Hill Climb Racing,Race and drive uphill to win‪!‬,Fingersoft,#27 in Racing,9+,4.6,Free,57.1K Ratings,Offers In-App Purchases,206.4 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
98,Downwell,Strap on your gun boots‪!‬,"Devolver Digital, Inc.",#25 in Casual,9+,4.7,Free,1.7K Ratings,Offers In-App Purchases,84.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
99,Hunting Clash: Hunter World,Answer the call of the wild‪!‬,Ten Square Games S.A.,#81 in Action,17+,4.7,$2.99,26.5K Ratings,,292.8 MB,Frequent/Intense Realistic Violence,,,,,
100,Talking Tom Hero Dash Run Game,Endless runner: Save the world,Outfit7 Limited,#100 in Action,4+,4.4,$0.99,182K Ratings,Offers In-App Purchases,434.5 MB,,,,,,
101,Draw Saber,,KAYAC Inc.,#98 in Action,12+,4.6,Free,9.5K Ratings,,128 MB,Frequent/Intense Cartoon or Fantasy Violence,,,,,
102,Plug Toolbox for Minecraft,"Cheats, Hacks & Tools",Innovative Developers LTD,#61 in Adventure,4+,3.4,$0.99,1.1K Ratings,,40.8 MB,,,,,,
103,Earn to Die 2,,Not Doppler Pty Limited,#1 in Racing,12+,4.7,$4.99,4.8K Ratings,,83.3 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,,,,
104,Traffic Run‪!‬,Thrilling‪!‬,Geisha Tokyo Inc.,#63 in Action,9+,4.6,$2.99,328.2K Ratings,Offers In-App Purchases,377.6 MB,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Cartoon or Fantasy Violence,,,,
105,Zombieville USA,,"Mika Mobile, Inc.",#33 in Casual,12+,4.6,Free,165 Ratings,Offers In-App Purchases,79.4 MB,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Realistic Violence,,,
106,Grand Theft Auto: Vice City,,"Rockstar Games, Inc.",#6 in Adventure,17+,4.5,$0.99,13.3K Ratings,Offers In-App Purchases,1.2 GB,Frequent/Intense Mature/Suggestive Themes,Frequent/Intense Profanity or Crude Humor,Frequent/Intense Cartoon or Fantasy Violence,"Frequent/Intense Alcohol, Tobacco, or Drug Use or References",Infrequent/Mild Sexual Content and Nudity,Frequent/Intense Realistic Violence
107,Kick the Buddy: Second Kick,Dummy punching mayhem‪!‬,Playgendary Limited,#90 in Action,12+,4.6,$4.99,29.3K Ratings,Offers In-App Purchases,412 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Profanity or Crude Humor,Frequent/Intense Cartoon or Fantasy Violence,Infrequent/Mild Mature/Suggestive Themes,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",
108,Flick Home Run ‪!‬,,infinity pocket,#6 in Sports,4+,3.4,Free,1.2K Ratings,Offers In-App Purchases,27.4 MB,,,,,,
109,Need for Speed™ Most Wanted,,EA Swiss Sarl,#3 in Racing,4+,3.7,$9.99,1.5K Ratings,,2.1 GB,,,,,,
110,Temple Run 2,Grab the Idol and run‪!‬,"Imangi Studios, LLC",#8 in Adventure,9+,4.5,Free,436.9K Ratings,Offers In-App Purchases,273.2 MB,Infrequent/Mild Cartoon or Fantasy Violence,,,,,
111,Jackass Human Slingshot,"Hi, I'm Johnny Knoxville..‪.‬",BroadbandTV Corp,#59 in Action,9+,4.7,Free,1.7K Ratings,Offers In-App Purchases,958.8 MB,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Cartoon or Fantasy Violence,,,
112,Just Dance 2023 Controller,,Ubisoft,#8 in Music,4+,2,$4.99,235 Ratings,,201 MB,,,,,,
113,SpongeBob SquarePants,Battle for Bikini Bottom,www.handy-games.com GmbH,#19 in Adventure,9+,4.5,$7.99,1K Ratings,Offers In-App Purchases,3.1 GB,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Cartoon or Fantasy Violence,,,,
